control_id,category,title,assertion,evidence_to_collect,review_gate,source_urls,scope,applicable,implementation,observed_value,observed_at_utc,reviewer,private_evidence_ref,gap_owner,next_action,due_date
AWS-11,detection,Posture standard with Config recording,"Security Hub CSPM is enabled through a delegated administrator using central configuration, the AWS Foundational Security Best Practices standard is enabled in every in-scope account and Region, AWS Config records the required resource types, and failed controls are triaged with owners.","Central configuration policy, standard enablement status, Config recorder status per Region, and the dated failed-control review.","Security Hub CSPM and AWS Config are Regional paid services; Config recording must exist in each Region for accurate findings, and AWS now distinguishes Security Hub CSPM from a separate Security Hub, so record which one is enabled.",https://docs.aws.amazon.com/securityhub/latest/userguide/fsbp-standard.html | https://docs.aws.amazon.com/securityhub/latest/userguide/securityhub-setup-prereqs.html | https://docs.aws.amazon.com/securityhub/latest/userguide/securityhub-accounts.html | https://docs.aws.amazon.com/config/latest/developerguide/WhatIsConfig.html,,,,,,,,,,
AWS-12,data,Account-level S3 Block Public Access,"All four S3 Block Public Access settings are enabled at the account level for every account or enforced by an organization policy, and any bucket that must serve public content is documented with an owner and reviewed.","Account-level Block Public Access status per account, the organization policy if used, the public-bucket exception list, and an IAM Access Analyzer for S3 review.","Block Public Access does not rewrite existing policies; removing it re-exposes previously public buckets, so review bucket policies before and after any change.",https://docs.aws.amazon.com/AmazonS3/latest/userguide/access-control-block-public-access.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/configuring-block-public-access-account.html,,,,,,,,,,
AWS-13,data,Encryption by default for storage,"Every in-scope account has EBS encryption by default enabled in each used Region, buckets holding confidential material use SSE-KMS with a firm-owned key, and no unencrypted volume or snapshot holds firm data.","EBS encryption-by-default status per Region, bucket default encryption inventory, and a volume and snapshot encryption report.",Encryption by default is a Regional setting and does not encrypt existing volumes or objects; plan snapshot copies and re-uploads for legacy data.,https://docs.aws.amazon.com/ebs/latest/userguide/encryption-by-default.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/default-bucket-encryption.html,,,,,,,,,,
AWS-14,data,Owned and rotated KMS keys,"Customer managed KMS keys protecting confidential data have a documented owner, a reviewed key policy that separates administrators from users, automatic rotation enabled, and deletion restricted through policy or SCP.","Key inventory with owners, key policy review, rotation status per key, and the deny on key deletion.","Key policies are Regional and every key must have one; a deleted or inaccessible key makes backups and logs unreadable, so treat key changes as recovery changes.",https://docs.aws.amazon.com/kms/latest/developerguide/key-policies.html | https://docs.aws.amazon.com/kms/latest/developerguide/rotate-keys.html,,,,,,,,,,
AWS-15,data,Secrets outside code and configuration,"Application, database, and integration credentials are stored in AWS Secrets Manager or an approved equivalent with access restricted to the consuming roles, rotation configured where the target supports it, and repositories scanned for embedded secrets.","Secret inventory with owners and rotation status, resource policy review, and the dated repository scan result.",Rotation by Lambda function adds cost and a dependency and managed rotation covers only supported services; AWS credentials belong in IAM roles rather than in secrets.,https://docs.aws.amazon.com/secretsmanager/latest/userguide/intro.html | https://docs.aws.amazon.com/secretsmanager/latest/userguide/rotating-secrets.html | https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_identities_secrets.html,,,,,,,,,,
AWS-16,network,Reviewed network exposure,"No security group allows unrestricted inbound access to administrative or database ports, no database instance is publicly accessible, default security groups allow no traffic, and each internet-facing entry point has an owner and review date.","Security group rule export per Region, RDS public-access attribute per instance, default security group status, and the exposure register.",Security groups are allow-only and aggregate across attachments; test the business path after tightening rules and repeat the export for every used Region.,https://docs.aws.amazon.com/vpc/latest/userguide/security-group-rules.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_VPC.WorkingWithRDSInstanceinaVPC.html,,,,,,,,,,
AWS-17,network,IMDSv2 required,"Every EC2 instance requires IMDSv2, the account-level default in each used Region sets IMDSv2 as required with enforcement enabled, and launch templates and AMIs do not override it.","Instance metadata options per instance, account-level IMDS defaults per Region, and a launch template and AMI review.","Account defaults do not change existing instances; agents or containers that rely on IMDSv1 or a hop limit of 1 will break, so test before enforcing.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/configuring-instance-metadata-options.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/configuring-IMDS-new-instances.html,,,,,,,,,,
AWS-18,recovery,Protected and tested backups,"Every in-scope data store is assigned to an AWS Backup plan with agreed retention, recovery points are copied to a separate account or held in a vault-locked vault, and a restore test within the review window confirmed content and access.","Backup plan and resource assignments, copy or vault lock configuration, and the dated restore test result including who verified access.","Cross-account backup needs AWS Organizations and cannot use the default vault; compliance-mode vault lock is irreversible after its grace period, and restore testing is billed per test.",https://docs.aws.amazon.com/aws-backup/latest/devguide/about-backup-plans.html | https://docs.aws.amazon.com/aws-backup/latest/devguide/vault-lock.html | https://docs.aws.amazon.com/aws-backup/latest/devguide/create-cross-account-backup.html | https://docs.aws.amazon.com/aws-backup/latest/devguide/restore-testing.html,,,,,,,,,,
AWS-19,cost,Spend guardrails as an abuse signal,"Each account has a cost budget with actual and forecasted alerts to an owned channel, AWS Cost Anomaly Detection monitors are active, and anomaly alerts are triaged as potential security events.","Budget and alert configuration, anomaly monitor and subscription settings, and a dated alert triage record.",Billing data lags by hours to a day and new monitors need time to establish a baseline; do not treat a quiet budget as proof that no abuse occurred.,https://docs.aws.amazon.com/cost-management/latest/userguide/budgets-managing-costs.html | https://docs.aws.amazon.com/cost-management/latest/userguide/manage-ad.html,,,,,,,,,,
AWS-20,change,Reviewed infrastructure as code with ownership tags,"Production resources are defined in version-controlled templates, changes are previewed with change sets or an equivalent plan and approved by a second person before execution, and every resource carries owner and environment tags enforced by a tag policy.","Repository and pipeline evidence, a sample change set review, tag policy and compliance report, and an untagged-resource check.",Change sets do not guarantee success and console changes bypass review; tag policies need all features enabled and evaluate only the tags they define.,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/Welcome.html | https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/using-cfn-updating-stacks-changesets.html | https://docs.aws.amazon.com/tag-editor/latest/userguide/tagging.html | https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_tag-policies.html,,,,,,,,,,
