control_id,title,domain,business_outcome,business_scenario,proposed_intended_state,accountable_role,operator_role,implementation_test,implementation_evidence,operating_effectiveness_test,operating_evidence,coverage_function,secondary_functions,suggested_cadence_or_trigger,failure_action,environment_decisions,primary_reference_url,related_resource,source_reviewed_on
VCIT-021,Concentration and exit assumptions are testable,Vendor dependency,A provider outage or exit does not reveal that the firm cannot reach or export its own work.,Identity; documentation; backup administration; and support contacts depend on the same unavailable service.,Critical vendors have documented dependencies; realistic alternate access; export/recovery options; and an accountable exit decision.,Business continuity owner,Service owner,Inspect dependency concentration and contract/product limits relevant to export and recovery.,Dependency map; exit assumptions; and approved continuity requirements.,Rehearse a selected provider-unavailable scenario using synthetic data; open an export with permissions/context intact where supported.,Exercise result; export usability findings; and unmet assumptions.,IDENTIFY,RECOVER,At vendor selection or major dependency change; suggested annual exercise for critical dependencies.,Reduce unsupported assumptions; preserve usable exports where approved; decide an alternate or accepted exposure.,Define tolerable interruption; export format; deletion proof; and costs/constraints.,https://www.cisecurity.org/controls/service-provider-management,../../documentation/continuity/business-continuity-plan.md,2026-09-17
VCIT-022,Email identity and sender paths are validated,Email security,Impersonation defenses and legitimate firm communications can coexist.,A new investor-notice sender bypasses the domain-authentication design or breaks under enforcement.,Sending domains and services have reviewed SPF; DKIM; DMARC; and filtering/forwarding behavior with owned exceptions.,Messaging service owner,Messaging and DNS administrators,Inspect sender inventory; actual DNS/authentication settings; and routing exceptions.,Domain/sender map; configuration evidence; and change approval.,Verify received headers for representative legitimate senders; use approved synthetic cases to check suspicious-message handling.,Header and delivery results with unresolved sender classes.,PROTECT,DETECT,At sender; domain; gateway; or routing changes; suggested periodic authentication review.,Remediate unauthorized or broken senders; investigate suspicious routing; stage changes with a rollback plan.,Define approved sender classes; report handling; recipient tests; and enforcement transition.,https://www.cisecurity.org/controls/email-and-web-browser-protections,../../baselines/README.md,2026-09-17
VCIT-023,Payment changes use an independent verification path,Finance fraud,A convincing message alone cannot redirect a payment.,A compromised supplier or executive mailbox sends revised wire instructions during a deadline.,Payment-detail changes and unusual requests are verified through a previously established independent contact path before authorization.,Finance controller,Authorized payment preparer and verifier,Inspect the documented callback/contact source and evidence requirement for change verification.,Payment-change procedure and trusted-contact maintenance record.,Run a synthetic urgent change request; verify the operator uses the established channel rather than supplied contact details.,Exercise decision and verification evidence; no actual payment.,PROTECT,DETECT,At each relevant payment change/request; when contact details change; suggested periodic scenario exercise.,Hold the questionable transaction; verify independently; escalate suspected compromise through the response process.,Define covered payments; trusted contact maintenance; exceptions; and bank escalation roles.,https://www.fbi.gov/how-we-can-help-you/common-frauds-and-scams/business-email-compromise,../../documentation/cyber-risk/incident-response-record.md,2026-09-17
VCIT-024,Payment authority separates preparation from release,Finance fraud,One compromised operator or unverified override cannot complete the whole sensitive payment path.,The same identity can change a payee; prepare a transfer; and approve its release.,The finance owner defines independent review/release roles and exception handling suited to the payment platform and business risk.,Finance controller,Payment platform owner,Inspect actual role combinations; delegated authority; and override capability against the approved design.,Authority matrix and platform-role review.,Walk a synthetic payee change and payment through preparation; verification; independent approval; and denial of self-approval.,Workflow evidence and override findings; no bank transaction.,PROTECT,GOVERN,At role/platform changes; suggested quarterly authority review.,Restrict conflicting authority where approved; establish an independent check; inspect unexplained overrides.,This is a proposed operational design; tailor separation and platform capabilities with finance.,https://www.fbi.gov/how-we-can-help-you/common-frauds-and-scams/business-email-compromise,../../documentation/policies/identity-and-access.md,2026-09-17
VCIT-025,Staff can report and route a suspicious request,People and detection,A credible-looking request reaches the right responder before someone acts on it.,An employee spots a payment or AI-generated impersonation attempt but cannot find the reporting route.,Staff and provider-facing teams know a simple reporting path and receive role-relevant practice with nonpunitive feedback.,Security awareness owner,People operations and response team,Inspect reporting routes; role-specific scenarios; onboarding; and responder coverage.,Training plan and reporting instructions.,Run an authorized synthetic scenario; observe reporting; acknowledgment; and the handoff to finance/security where needed.,Scenario timeline and improvement actions; no employee ranking claim.,DETECT,RESPOND,At onboarding and threat/workflow changes; suggested periodic role-based practice.,Repair the route; coach the misunderstood decision; address missing response ownership.,Define testing boundaries; privacy; accessibility; and learning goals.,https://www.cisecurity.org/controls/security-awareness-and-skills-training,../../documentation/cyber-risk/incident-response-record.md,2026-09-17
VCIT-026,Investigation logs exist when needed,Logging,The firm can reconstruct a relevant event without assuming an unavailable log exists.,An investigation discovers the relevant sign-in log expired or the SaaS event was never collected.,Critical event sources have documented scope; lag; retention; access controls; collection health; and retrievable evidence.,Security operations owner,Logging/platform operator,Inspect a source-by-source log matrix; effective collection; edition limits; and archive design.,Coverage and retention matrix with collection-health evidence.,Create an approved benign event and retrieve it with actor; action; time; and target; test the agreed historical window.,Event-to-record trace and missing-field/source findings.,DETECT,RESPOND,Suggested monthly coverage/health review; at service; schema; license; or retention changes.,Restore collection; record the blind period and investigation limits; adjust retention or sources through review.,Agree investigation needs; access; privacy; storage; clocks; and affordable retention.,https://www.cisa.gov/audiences/small-and-medium-businesses/secure-your-business/use-logging-on-business-systems,../../baselines/README.md,2026-09-17
VCIT-027,Incident decisions are rehearsed,Incident response,A suspected compromise receives coherent decisions and timely business coordination.,A mailbox compromise raises simultaneous questions about access containment; payments; records; and external communication.,The response plan defines incident authority; contacts; evidence handling; business impact assessment; communications; and recovery handoff.,Incident commander or designated executive,Security/IT response lead,Inspect the current plan and alternate contact paths with relevant providers and business functions.,Response plan; role acceptance; and contact validation.,Tabletop a scoped mailbox-compromise scenario with the usual lead unavailable; record decisions and unresolved dependencies.,Exercise timeline; action ownership; and follow-up closure.,RESPOND,GOVERN,After incidents or team/provider changes; suggested periodic tabletop based on scenario risk.,Assign missing authority; update stale routes; track unresolved decisions before calling readiness complete.,Counsel/compliance determine applicable notifications; do not invent a universal deadline.,https://csrc.nist.gov/pubs/sp/800/61/r3/final,../../documentation/cyber-risk/incident-response-record.md,2026-09-17
VCIT-028,Containment and evidence preservation work together,Incident response,Authorized containment can proceed without losing the facts needed for the next decision.,An operator deletes an account or log before the response team understands the compromise.,Response actions have authority; scope; evidence-preservation steps; decision timestamps; and a recovery/rollback consideration.,Incident response lead,Authorized platform responder,Inspect containment runbooks and approved evidence destinations/access.,Runbook; authority record; and evidence-handling checklist.,Use a synthetic case to preserve relevant records; perform an approved simulated containment; and hand evidence to the investigator.,Action/evidence chain and verification that the intended boundary was contained.,RESPOND,DETECT,At runbook/tool changes; after incidents; during relevant exercises.,Stop unsupported destructive actions; preserve available evidence; correct the authority or tool gap.,Define collection scope; custody; secure storage; responder privileges; and rollback constraints.,https://csrc.nist.gov/pubs/sp/800/61/r3/final,../../documentation/cyber-risk/incident-response-record.md,2026-09-17
VCIT-029,Recovery coverage is protected and owned,Backup and recovery,A backup design covers the assets that the business actually needs to restore.,A successful job excludes a critical shared workspace or depends on the compromised primary admin.,Critical workloads map to an approved recovery method; protected scope; restore access; recovery objectives; and monitored failures.,Recovery service owner,Backup or platform operator,Compare business workload inventory to protected units; retention; administrative isolation; and failure routing.,Coverage matrix; recovery design; and job/alert configuration.,Trace a selected completed backup to a retrievable recovery point and an acknowledged synthetic failure alert.,Recovery-point lookup and failed-job routing result.,RECOVER,PROTECT,At workload/provider changes; review failures as they occur; suggested periodic coverage reconciliation.,Protect missed workloads or obtain an explicit treatment decision; repair failed jobs and unmonitored alerts.,Define acceptable data loss; recovery time; credential separation; and service-specific limitations.,https://www.cisecurity.org/controls/data-recovery,../../documentation/continuity/disaster-recovery-playbook.md,2026-09-17
VCIT-030,A restore proves business usability and access,Recovery validation,Recovered information supports the intended work without creating a new disclosure.,Files reappear but only administrators can open them or outside collaborators regain unintended access.,A bounded restore checks content; version/context; ownership; allowed/denied access; and business acceptance against agreed objectives.,Business service owner,Recovery operator with independent verifier,Inspect the approved restore plan; isolated target; reference permissions; and acceptance criteria.,Restore design and expected-result record.,Restore synthetic representative data; test intended and excluded users; measure elapsed recovery and known data loss.,Restore transcript; access results; measured objectives; and business acceptance.,RECOVER,PROTECT,After recovery design changes; suggested periodic exercises for critical workloads.,Keep restoration unaccepted; correct missing data or permission drift; retest the failed condition.,Define representative data; isolated destination; authorization; and cleanup.,https://www.cisecurity.org/controls/data-recovery,../../documentation/recovery-exercise-example.md,2026-09-17
VCIT-031,Critical work has a usable outage mode,Business continuity,A technology outage does not force uncontrolled workarounds for time-sensitive operations.,Staff move confidential closing documents into personal accounts when the primary workspace fails.,Critical processes have an approved temporary operating mode; decision owner; alternate communications; data boundaries; and return-to-normal steps.,Business continuity owner,Business process owners,Inspect process priorities; dependencies; offline/alternate instructions; and access to the plan.,Continuity plan with owners and approved workarounds.,Tabletop a selected service outage; demonstrate access to instructions and a safe synthetic transaction/document workflow.,Exercise record; delay/dependency findings; and reconciliation plan.,RECOVER,GOVERN,At process/dependency changes; suggested annual scenario exercise or risk-based schedule.,Replace unusable workarounds; resolve alternate access; communicate approved limits before an outage.,Define tolerable interruption; data integrity checks; and who authorizes temporary operation.,https://www.nist.gov/publications/nist-cybersecurity-framework-csf-20,../../documentation/continuity/business-continuity-plan.md,2026-09-17
VCIT-032,AI approval names the use case and boundary,AI governance,AI adoption is a reviewable decision about data and actions.,An enterprise AI subscription is treated as blanket permission for every connector and confidential dataset.,Each AI use case has an owner; workspace; data classes; purpose; provider terms/settings review; human responsibility; and reassessment trigger.,AI use-case business owner,AI service owner and security reviewer,Inspect the use-case record against actual model; workspace; connectors; data; and action configuration.,Use-case approval and configuration/scope record.,Walk a permitted synthetic request and a prohibited data/action request; verify the intended boundary and human escalation.,Scenario results and unresolved boundary questions.,GOVERN,PROTECT,Before use; after model; connector; terms; data; or action-scope changes.,Limit or pause the unreviewed capability; resolve the data/action decision before production use.,Define allowed data; external processing; record retention; human review; and business consequences.,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,../ai/ai-use-case-review.md,2026-09-17
VCIT-033,AI retrieval respects the source audience,AI access,An assistant cannot reveal material the requesting user is not authorized to see.,A shared connector indexes a restricted deal folder and returns its content to a broader audience.,Retrieval and indexing use approved identity; scope; permission propagation; deletion; and revocation behavior across the data lifecycle.,Data owner with AI service owner,Connector or retrieval operator,Inspect connector grants; index boundaries; source ACL handling; caches; and deprovisioning behavior.,Access architecture and effective connector/data-scope record.,Use distinct synthetic allowed/denied users and documents; test retrieval before and after permission removal including cached/indexed content.,Retrieval and revocation results with propagation limits.,PROTECT,DETECT,At connector/index/access changes; suggested recurring permission-boundary exercise.,Disable the exposed retrieval path; remove unauthorized indexed copies where supported; investigate disclosure; retest.,Define identity propagation; index tenancy; refresh lag; approved destinations; and deletion expectations.,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,../ai/agent-and-mcp-controls.md,2026-09-17
VCIT-034,AI actions require bounded authority,AI actions,An assistant cannot convert retrieved text or an ambiguous request into an unauthorized external action.,A document instructs an agent to email records or alter access beyond the approved workflow.,Tools enforce allowed resources/actions; consequential changes have defined approval; inputs are validated; and credentials stay outside model-visible content.,AI workflow business owner,Agent or integration operator,Inspect tool permissions; action policy; approval checks; destinations; and failure handling.,Action boundary design and enforced tool configuration.,Run synthetic approved; denied; replayed; and malicious-instruction cases against stub tools; verify unapproved actions do not execute.,Tool-call traces; denied-action evidence; and approval-boundary results.,PROTECT,GOVERN,Before enabling action; after tool; permission; prompt; or destination changes.,Stop the affected tool path; reduce authority; repair approval/validation; retest using stubs.,Define permitted actions; review authority; transaction limits where relevant; and safe retries.,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,../ai/agent-and-mcp-controls.md,2026-09-17
