control_id,category,title,assertion,evidence_to_collect,review_gate,source_urls,scope,applicable,implementation,observed_value,observed_at_utc,reviewer,private_evidence_ref,gap_owner,next_action,due_date
GWS-11,email,SPF sender inventory,Each sending domain has a validated SPF record covering all authorized senders without duplicate SPF records or invalid lookup expansion.,"DNS record and sender inventory, with message-header tests for each sender class.","Include investor communications, CRM, finance, ticketing, and marketing before DNS changes.",https://knowledge.workspace.google.com/admin/security/set-up-spf | https://knowledge.workspace.google.com/admin/security/troubleshoot-spf-issues,,,,,,,,,,
GWS-12,email,DKIM signing,All in-scope sending domains and services use validated DKIM signing with documented key ownership.,"Published key, enabled signing status, and received-message signature test.",Use the actual vendor-generated key/selector; never copy example DNS values.,https://knowledge.workspace.google.com/admin/security/set-up-dkim,,,,,,,,,,
GWS-13,email,DMARC enforcement plan,"A domain owner has validated alignment and reporting, completed sender remediation, and approved an enforced DMARC policy for in-scope domains.","Policy record, representative aligned headers, report review and change approval.",Monitoring-only is a rollout stage; move toward enforcement after legitimate traffic is understood.,https://knowledge.workspace.google.com/admin/security/set-up-dmarc,,,,,,,,,,
GWS-14,monitoring,Audit coverage and retention,"Required audit sources, lag, retention, export path, access owners, and retrieval tests are documented for the actual edition.",A source-by-source matrix and successful retrieval of a synthetic event.,Native log windows vary; export before expiry if the approved need is longer.,https://knowledge.workspace.google.com/admin/reports/data-retention-and-lag-times,,,,,,,,,,
GWS-15,monitoring,Actionable admin alerts,"Administrative/security alert types have an owner, escalation route, and a completed delivery-and-response test.",Alert routing settings and dated response exercise.,Verify the route remains reachable during primary account or mail-service failure.,https://knowledge.workspace.google.com/admin/users/security-best-practices-for-administrator-accounts,,,,,,,,,,
GWS-16,retention,Reviewed retention and holds,"A records owner has approved data-type retention and hold requirements, and verified effective Vault coverage or a documented alternative.","Approved schedule, licensed population, rules/hold review and scoped retrieval test.",Vault needs applicable licenses and configured rules; deletion/license removal can affect retained data.,https://knowledge.workspace.google.com/vault/getting-started/vault-overview,,,,,,,,,,
GWS-17,recovery,Tested business recovery,"Critical mail and document workloads have agreed recovery objectives, a coverage map, and a restore exercise that verifies content and permissions.","Recovery method per workload, measured restore result, missing-data/permission findings.",Native recovery windows and Vault exports do not establish end-to-end business recovery.,https://knowledge.workspace.google.com/admin/drive/recover-deleted-files-and-folders-for-drive-users,,,,,,,,,,
GWS-18,change,Controlled identity rollout,"Identity and access changes have a pilot, enrollment check, business tests, recovery route, and saved previous configuration.",Approved change record and pilot test results.,Use actual product capabilities; do not assume every Google setting has report-only mode.,https://knowledge.workspace.google.com/admin/security/deploy-2-step-verification,,,,,,,,,,
GWS-19,ownership,Durable document ownership,Critical operating records use accountable shared ownership with reviewed membership and continuity when a staff member leaves.,Critical repository map and ownership/permission continuity test.,Shared-drive availability and supported behavior depend on edition and chosen structure.,https://support.google.com/a/users/answer/12380484?hl=en,,,,,,,,,,
GWS-20,lifecycle,Offboarding access and records,"A tested leaver process suspends relevant access, addresses delegated/third-party access, and preserves records under the approved schedule.","Synthetic leaver exercise with identity, applications, ownership, retention, and verification checkpoints.",Suspension is one step; do not equate account deletion with a complete leaver process.,https://knowledge.workspace.google.com/admin/users/suspend-a-user-temporarily | https://knowledge.workspace.google.com/vault/getting-started/vault-overview,,,,,,,,,,
GWS-21,ai,Generative AI access and data boundaries,"Gemini app and Gemini features in Workspace services are enabled only for approved populations, Gemini access to Workspace data is a recorded decision, and retention coverage for Gemini app conversations is confirmed or a documented alternative exists.","Effective OU/group service status for the Gemini app and per-service Gemini features, the Workspace-data access decision, the conversation-history setting, and a Vault rule or hold review for Gemini app data.",Turning Gemini off in one service does not stop Gemini in another service from reading that data; decide the data boundary before the feature rollout.,https://knowledge.workspace.google.com/admin/generative-ai/gemini-app/turn-the-gemini-app-on-or-off | https://knowledge.workspace.google.com/admin/generative-ai/workspace-with-gemini/manage-access-to-gemini-features-in-workspace-services | https://knowledge.workspace.google.com/admin/gemini/turn-google-apps-in-gemini-on-or-off | https://knowledge.workspace.google.com/vault/retention/retain-gemini-app-messages-with-vault,,,,,,,,,,
GWS-22,sharing,Sensitive-content rules for Drive and Chat,"In-scope Drive and Chat content is covered by tested DLP rules for the approved sensitive data categories, with an agreed audit-only, warn, or block action and a reviewed rule log.","Rule inventory with detectors, triggers, and actions; supported-edition confirmation by population; synthetic-content trigger test and the resulting rule log event.",DLP for Drive and Chat is edition-limited; start in audit-only mode and review rule log events before enabling warn or block.,https://knowledge.workspace.google.com/admin/security/about-dlp | https://knowledge.workspace.google.com/admin/security/create-dlp-for-drive-rules-and-custom-content-detectors | https://knowledge.workspace.google.com/admin/security/prevent-data-leaks-from-chat-messages-and-attachments,,,,,,,,,,
GWS-23,devices,Managed browser policy,"Chrome used for Workspace runs under user-level or enrolled-browser policies covering extension control, sign-in restrictions, and security settings, with enrollment coverage evidenced and unmanaged browsers recorded as exceptions.","Chrome policy export by OU, managed-browser or signed-in-profile coverage report, extension allow/block list, and a denied-extension test.",User policies follow the signed-in managed profile and enrolled-browser policies follow the device; decide which applies to personal devices before enforcement.,https://support.google.com/chrome/a/answer/9116814?hl=en | https://support.google.com/chrome/a/answer/2657289?hl=en,,,,,,,,,,
GWS-24,integrations,Script and low-code governance,"Apps Script and AppSheet availability and external-sharing settings are recorded decisions, internal scripts and apps with broad scopes appear in the app-access inventory, and external connections are allowlisted where the edition supports it.","Apps Script and AppSheet service status by OU, internal-app entries in API controls, the external-URL allowlist or a documented gap, and an owner for each production script.",AppSheet Core settings apply organization-wide and turning Apps Script off blocks execution; inventory installed triggers and shared apps before restricting.,https://knowledge.workspace.google.com/admin/users/access/turn-apps-script-on-or-off-for-users | https://knowledge.workspace.google.com/admin/drive/allow-only-certain-external-connections-for-apps-script-and-sheets | https://knowledge.workspace.google.com/admin/appsheet/control-access-to-appsheet-features,,,,,,,,,,
