"id","name","publisher","url","category","audience","access_model","free_scope","access_notes","starter_task","reviewed_on","source_titles","source_urls","source_dates","source_support"
"freshworks-university","Freshworks University","Freshworks","https://www.freshworks.com/university/courses/","Workplace and business tools","Customer service staff; Service desk staff; Administrators","free-account","Free university courses covering Freshdesk and Freshservice agent or administrator fundamentals and customer-service skills.","The official catalog identifies these as free courses. The Freshdesk Agent Fundamentals page requires creating a university account to take the course. Enrollment, playback, and any paid Freshworks product features were not tested; a product trial is not the learning entitlement.","Write a fictional ticket handoff with a clear issue summary, customer impact, attempted steps, next owner, and expected update. Draft a knowledge article only after separating a verified resolution from a proposed fix.","2026-09-19","Explore Free Courses | Freshworks University Online Learning | Freshdesk Agent Fundamentals","https://www.freshworks.com/university/courses/ | https://www.freshworks.com/university/courses/freshdesk-agent-fundamentals/","unknown | unknown","Official free-course catalog lists Freshdesk and Freshservice fundamentals plus customer-service learning. | Describes ticket handling and knowledge-base topics and instructs learners to create a university account to take the course."
"google-workspace-learning-center","Google Workspace Learning Center","Google","https://support.google.com/a/users","Workplace and business tools","Employees; Executive assistants; Team leads; Help desk staff","public","Public product quick starts, business tutorials, and learning organized by role and industry.","Training pages are publicly readable. Practicing Workspace features requires a suitable Google account and the relevant organizational permissions and edition; the learning center does not supply those entitlements.","Plan a fictional new hire's first week using a shared document, calendar, and Drive folder. Explain the purpose and proposed permission scope of each item before creating anything.","2026-09-19","Google Workspace Learning Center","https://support.google.com/a/users","unknown","Public learning center includes product guides, role-based learning, hybrid work, and business tutorials."
"hubspot-academy","HubSpot Academy","HubSpot","https://academy.hubspot.com/","Workplace and business tools","Marketing staff; Sales staff; Customer service staff; Operations staff","free-account","Free online courses and certifications across marketing, sales, service, and HubSpot software topics.","A free Academy account provides learning access. Some software certifications require paid Professional or Enterprise product access for mandatory practical exercises; free courses do not supply that access. Educational partner entitlements are a separate program. Enrollment and credential completion were not tested.","Draft a fictional lead-to-service handoff with agreed qualification fields, a receiving owner, and a response expectation. Review whether the proposed message makes any unsupported promises.","2026-09-19","HubSpot Academy | HubSpot certifications: practical exercise and product access requirements","https://academy.hubspot.com/ | https://academy.hubspot.com/education-partner-program/epp-certifications-professors","unknown | unknown","Official academy states its online learning is free and offers courses and certifications across business functions. | Separates certifications without paid-product practical exercises from software certifications requiring paid product capabilities; educational partner access is a distinct entitlement."
"lucid-training-labs","Lucid Training Labs","Lucid","https://training.lucid.co/","Workplace and business tools","Business analysts; Project teams; Process owners","free-account","Free self-paced Lucidchart and Lucidspark training, including fundamentals learning and badges highlighted by Lucid.","Lucid's plan table includes Training Labs on its Free plan as well as paid plans. The portal returned 403 to this tool, so registration, course playback, and badge completion were not tested. Product features and AI usage remain subject to the account's plan.","Draw a fictional onboarding process with decision points, responsible roles, and a clear end state. Ask a colleague to locate the approval and exception paths without verbal explanation.","2026-09-19","Lucid's best of 2025 | Learning Campus Hub | Lucid Plans","https://lucid.co/blog/best-of-2025 | https://lucid.co/learning-campus | https://help.lucid.co/hc/en-us/articles/360056903132-Lucid-Plans","unknown | unknown | 2026-08-14","Identifies Training Labs as free self-paced courses and links fundamentals badge courses. | Official learning hub links Training Labs, product quick starts, and supporting help resources. | Current plan comparison marks Lucid Training Labs available on Free and paid plans, separately from tailored paid training."
"make-academy","Make Academy","Make","https://academy.make.com/","Workplace and business tools","Operations staff; Automation builders; Business analysts","free-account","Free self-paced automation courses and badges with a free Academy profile.","Make says the Academy is free without subscriptions. Each course enrollment lasts six months, but learners can re-enroll at any time with progress saved; this is renewable free learning, not a paid product trial. Make operations, connected apps, and external AI services have separate usage limits and costs.","On paper, map a fictional request from intake to a validation step and a review queue. Specify what happens when a required field is missing and how a retry avoids a duplicate action.","2026-09-19","Make Academy","https://academy.make.com/","unknown","Official FAQ states the Academy is free, explains account signup, and permits re-enrollment after the six-month course access period with progress retained."
"microsoft-365-training","Microsoft 365 basics video training","Microsoft","https://support.microsoft.com/en-us/office/microsoft-365-basics-video-training-396b8d9e-e118-42d0-8a0d-87d1f2f055fb","Workplace and business tools","Employees; Team leads; Help desk staff","public","Public Microsoft 365 quick-start lessons covering creating and saving, sharing, Teams, and working from different locations.","This is Microsoft Support training, separate from Microsoft Learn. Reading the lessons does not provide Microsoft 365 software or an organizational license. Video playback and tenant exercises were not tested.","Use a fictional project document to draft a sharing plan: who edits, who only reads, where the approved copy lives, and how a departing collaborator loses access.","2026-09-19","Microsoft 365 basics video training","https://support.microsoft.com/en-us/office/microsoft-365-basics-video-training-396b8d9e-e118-42d0-8a0d-87d1f2f055fb","unknown","Public training index offers quick starts and lessons on saving, sharing, Teams, collaboration, and remote work."
"miro-getting-started","Miro getting-started tutorials","Miro","https://miro.com/how-to-use-miro/","Workplace and business tools","Workshop facilitators; Project teams; Business analysts","public","Public step-by-step board and collaboration tutorial with links to Miro's official video and learning resources.","This entry covers the public tutorial, not a verified entitlement to every Academy or partner course. A Miro account is needed to practice; the guide mentions a free plan, while advanced collaboration and AI features can have different plan limits.","Sketch a fictional retrospective board with prompts, an area for grouping ideas, and an action list. Define who will own each action and how participants can contribute asynchronously.","2026-09-19","How to use Miro","https://miro.com/how-to-use-miro/","unknown","Public guide explains account setup, board creation, collaboration, and further official learning resources; mentions a free product plan without making every feature free."
"monday-academy","monday academy","monday.com","https://monday.com/academy","Workplace and business tools","Project coordinators; Operations staff; Workspace administrators","public","Free lessons, learning paths, certifications, and training advertised in monday.com's official resource guide.","Public resource guidance establishes the free learning scope. Course enrollment, sign-in, and playback were not tested; any account requirement should be checked on the selected course. Product features used in an exercise follow the organization's monday.com plan.","Outline a fictional request board with owner, status, due date, approval, and evidence columns. Define what each status means and when a request must be escalated.","2026-09-19","What resources are available for me to use?","https://support.monday.com/hc/en-us/articles/360020068040-What-resources-are-available-for-me-to-use","2026-02-16","Describes monday academy as a learning hub with free lessons, paths, certifications, and training."
"notion-academy","Notion Academy","Notion","https://academy.notion.com/","Workplace and business tools","Employees; Knowledge managers; Workspace administrators","free-account","Free self-paced courses and the Essentials, Workflows, and Advanced learning badges described by Notion.","Sign in with a Notion account. Free badges are different from paid certification exams; the Certified Admin path includes paid exam purchase requirements, and partner certifications have partner eligibility rules. The academy front door blocked automated reading, so the official help page establishes scope.","Draft a fictional team knowledge page with an owner, review date, source links, and an intake process. Explain how a reader finds the approved procedure rather than an obsolete draft.","2026-09-19","Badges and certifications","https://www.notion.com/en-gb/help/badges-and-certifications","unknown","Distinguishes free Academy courses and badges from paid certification exams and describes account sign-in and partner restrictions."
"salesforce-trailhead","Salesforce Trailhead","Salesforce","https://trailhead.salesforce.com/","Workplace and business tools","Sales staff; Service teams; Business analysts; Administrators","free-account","Free modules, learning paths, and hands-on training in supplied Salesforce learning environments.","A Trailhead account is used for progress and hands-on learning. Do not assume instructor-led Trailhead Academy training or formal Salesforce certification exams are included. No course or assessment was completed during research.","Use a fictional customer-support scenario to explain the record fields, owner, and next action needed for a clean handoff. Follow an introductory module in its training environment rather than a live customer account.","2026-09-19","Trailhead","https://trailhead.salesforce.com/","unknown","Official portal explicitly advertises free learning and free hands-on practice in Salesforce environments."
"servicenow-university","ServiceNow University","ServiceNow","https://learning.servicenow.com/","Workplace and business tools","Service desk staff; Process owners; Administrators; Business analysts","free-account","Free on-demand learning within a mixed free and paid ServiceNow training catalog.","Creating a profile and browsing is free. Official FAQs distinguish free on-demand learning from priced instructor-led or private training; inspect each course's price before enrollment. Certification exams, lab entitlements, company benefits, and learning credits are not assumed included. No live instance work was performed.","Describe a fictional incident record with impact, urgency, assigned owner, escalation trigger, and closure evidence. Explain how it differs from a routine service request before selecting the relevant introductory lesson.","2026-09-19","Training FAQs","https://learning.servicenow.com/kb?id=kb_article_view&sysparm_article=KB0012229","unknown","Official knowledge article says profiles are free, catalog contains free and paid options, and identifies on-demand learning as free in its training comparison."
"slack-tutorials","Slack tutorials and videos","Slack","https://slack.com/help/categories/360000049063","Workplace and business tools","Employees; Team leads; Collaboration administrators","public","Public tutorials on channels, conversations, search, standups, meetings, and working with external partners, plus a video index.","The Slack 101 address redirects to this help-center training destination. Workspace access is separate; tutorials may describe features that depend on the organization's Slack plan. Playback was not tested.","Design a fictional project channel with a clear purpose, naming rule, update pattern, and escalation route. Draft one searchable status update that a teammate could understand asynchronously.","2026-09-19","Slack tutorials and videos","https://slack.com/help/categories/360000049063","unknown","Public tutorial collection covers common employee collaboration tasks and links supporting videos."
"webex-academy","Webex Academy","Cisco","https://www.webex.com/us/en/adopt/academy.html","Workplace and business tools","Meeting hosts; Collaboration administrators; IT support staff","free-account","Free Webex learning, including the administrator and Cisco video-device courses listed with unlimited access in the official administration learning page.","The listed free courses are the verified scope, not every Cisco course or certification. Enrollment is required; account login and course playback were not tested. Webex product and device access are separate.","For a fictional meeting room, list the support information needed to diagnose an audio issue and identify which checks an employee can perform versus which need an administrator.","2026-09-19","Webex administration help and learning | Webex Academy","https://help.webex.com/en-us/administration | https://www.webex.com/us/en/adopt/academy.html","unknown | unknown","Lists Collaboration Control Hub Admin Professional and Designing and Deploying Cisco Video-Enabled Devices with unlimited access and free enrollment. | Official Academy destination for Webex courses and tutorials; its title identifies free courses."
"workato-academy","Workato Academy","Workato","https://academy.ifr.workato.com/","Workplace and business tools","Operations staff; Automation builders; Integration administrators","free-account","Free self-paced enterprise automation courses and certifications, including foundations and role-oriented learning.","The official Academy page labels its learning free and marks courses as requiring login. Product workspace access, live bootcamps, and private training are not assumed included. No automation was connected to a real business system.","Map a fictional access-request automation with required inputs, a named approver, success evidence, and a failure route. Identify the point at which a human decision must precede any account change.","2026-09-19","Workato Academy: Free Enterprise Automation Courses and Certifications","https://academy.ifr.workato.com/","unknown","Official academy landing page advertises free courses and certifications and labels course access as requiring login."
"zapier-academy","Zapier Academy","Zapier","https://learn.zapier.com/","Workplace and business tools","Operations staff; Automation builders; Team leads","free-account","Free Academy learning with a Zapier account, including the verified AI Builder Path and basic-to-intermediate Zap concepts.","The AI Builder Path explicitly says it is free with a Zapier account. This does not include every paid Zapier capability, connected application, or AI-service charge. Enrollment and live automation execution were not tested.","Specify a fictional request-routing Zap with its trigger, field mapping, and expected output. Include a missing-data case and a duplicate-input case, and state how a reviewer would verify the proposed behavior before enabling it.","2026-09-19","AI Builder Path — Zapier Academy","https://learn.zapier.com/courses/c8a7d45c-ecf1-480f-ba21-d10f6fed4b39/sections/9d862b0e-9d34-4a8b-bae2-2f41ea87c0c3/blocks/d0216a4a-8bbe-4111-b1c2-195130dfe0f8","unknown","Public path description says learning is free with a Zapier account and lists foundational and intermediate automation topics."
"zoom-learning-center","Zoom Learning Center","Zoom","https://learning.zoom.us/learn","Workplace and business tools","Employees; Meeting hosts; Collaboration administrators","free-account","Free on-demand courses and short videos for new and existing Zoom users across account types and user roles.","Zoom's official support page explicitly says learning is free regardless of account type. Enrollment and saved learning use the learning center; no login or playback was tested. Product licenses and permissions for administrator or Zoom Phone practice remain separate.","Write a meeting-host checklist for a fictional team meeting, including participant entry, screen sharing, accessibility arrangements, and a fallback if someone cannot join.","2026-09-19","Using the Zoom Learning Center","https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0060166","unknown","Describes free on-demand courses and short videos for all new and existing users, regardless of account type or role."
"1password-academy","1Password Academy","1Password","https://www.1password.academy/","Security and IT operations","employees; IT support staff; identity administrators","free-account","Free self-paced learning for 1Password administrators and end users, including business-administration learning.","Create an Academy learner account to enroll. Product features still depend on a 1Password subscription and permissions. Course enrollment or a badge is not evidence that an employee can safely administer a production account.","Create a fictional vault-and-group access matrix for an employee, help-desk analyst, and administrator; explain one request each role should escalate.","2026-09-19","Roll out 1Password with confidence: Start learning on 1Password Academy","https://1password.com/blog/1password-academy-free-learning-platform-launch","2026-02-20","The launch article identifies the Academy as a free platform for admins and end users and describes structured self-paced learning. It links the current Academy, replacing the older University name."
"apnic-academy","APNIC Academy online courses","APNIC","https://academy.apnic.net/en/online-courses","Security and IT operations","network administrators; IT support staff; security analysts","free-account","The catalog of free online courses, including cybersecurity fundamentals, IPv6, BGP, and routing-related topics.","Use an APNIC Login to enroll and retain progress. Free online study does not imply that travel, scheduled instructor-led events, Internet resources, or a production lab are provided.","Prepare an IPv6 address plan for a fictional two-office organization and document prefix allocation, ownership, and two facts that need verification before implementation.","2026-09-19","Online Courses","https://academy.apnic.net/en/online-courses","unknown","The official online course catalog labels the listed courses Free and provides enrollment/login links."
"apple-it-training","Apple Professional Training: IT courses","Apple","https://training.apple.com/it","Security and IT operations","IT support staff; Mac administrators; endpoint administrators","public","Self-paced Apple Device Support and Apple Deployment and Management course materials, with related IT-training resources.","Course viewing is separate from paid certification exams and any hardware, MDM, or service subscription used for practice. The current course pages require JavaScript; lessons were not played or completed. No limited-time exam-retake promotion is included.","Using a fictional Mac support ticket, write an intake checklist that separates the reported symptom, device and OS facts, diagnostic evidence, and escalation trigger.","2026-09-19","IT Training | Apple introduces new professional training to support growing IT workforce","https://training.apple.com/it | https://www.apple.com/newsroom/2022/05/apple-introduces-new-professional-training-to-support-growing-it-workforce/","unknown | 2022-05-18","The current catalog links device-support and deployment courses and separates course study from exam registration. | Apple explicitly states that the self-paced courses are freely available while certification exams are paid; historical prices are not carried forward here."
"attackiq-academy","AttackIQ Academy","AttackIQ","https://academy.attackiq.com/","Security and IT operations","security analysts; detection engineers; security program managers","free-account","No-cost Academy courses on threat-informed defense, ATT&CK, detection, purple teaming, and related security concepts.","Create an Academy learner account. The Academy courses are separate from the optional Champions advocacy program and from an AttackIQ product subscription. Course access does not authorize adversary emulation in a real environment.","Using a fictional threat behavior, draft a detection-coverage worksheet with expected telemetry, a validation question, a control owner, and a clearly labeled evidence gap.","2026-09-19","Build Your Cybersecurity Profile: Introducing the AttackIQ Champions Program","https://www.attackiq.com/2026/05/20/attackiq-champions-program/","2026-05-20","The article's Academy section and FAQ explicitly state that Academy courses are offered at no cost and identify the learning topics. Champions participation is a separate program."
"bitwarden-courses","Bitwarden Courses","Bitwarden","https://bitwarden.com/help/courses/","Security and IT operations","employees; IT support staff; password-manager administrators","public","Public courses organized for personal users, business users, help desks, and administrators, plus introductory Secrets Manager material.","Reading the courses does not require buying a business product. Practice involving Teams, Enterprise, or Secrets Manager features may require the relevant product plan and permissions; no business license or certification is implied.","For a fictional three-person team, draft collection membership and permissions, then explain how a reviewer would verify that an offboarded user no longer has access.","2026-09-19","Bitwarden Courses | Password Manager Business Overview","https://bitwarden.com/help/courses/ | https://bitwarden.com/help/courses/password-manager-business-overview/","unknown | unknown","The public course catalog separates business end-user, help-desk, administrator, and other learning tracks. | The course introduction publicly describes business-user and administrator topics including managing users and sharing credentials."
"check-point-jump-start","Check Point Jump Start eLearning","Check Point Software","https://www.checkpoint.com/elearning/","Security and IT operations","network administrators; security analysts; IT support staff","free-account","The free Jump Start training series identified on the official eLearning page.","The official landing page routes to learning platforms; registration and playback requirements depend on the selected platform. Free scope is Jump Start, not the entire MIND catalog, product licenses, advanced training, or certification exams. Enrollment was not attempted.","Use a fictional branch-office diagram to explain which traffic a gateway policy should allow, what should be denied, and which log would help verify the decision.","2026-09-19","Cyber Security Free eLearning","https://www.checkpoint.com/elearning/","unknown","The current official page explicitly labels Jump Start as a free training series offered through learning platforms. It does not establish that every Check Point training product is free."
"cisco-networking-academy","Cisco Networking Academy","Cisco","https://www.netacad.com/","Security and IT operations","IT support staff; network administrators; security analysts","free-account","Selected free, self-paced networking, cybersecurity, and digital-skills courses, including introductory cybersecurity and networking.","Create a learner account for enrollment and progress. This entry covers the free self-paced catalog, not every instructor-led academy offering or certification exam. Skills for All is not counted separately.","After an introductory networking lesson, draw the path from a fictional employee laptop to a business application and label three places where an outage could occur.","2026-09-19","Cisco Networking Academy","https://www.cisco.com/site/us/en/learn/training-certifications/training/netacad/index.html","unknown","Cisco explicitly describes free self-paced online courses and links the Networking Academy learning catalog."
"cloudflare-learning-center","Cloudflare Learning Center","Cloudflare","https://www.cloudflare.com/learning/","Security and IT operations","IT support staff; network administrators; business technology owners","public","Public explanatory articles on DNS, TLS, DDoS, network security, email security, and related Internet concepts.","This is an openly readable learning library, not a tracked course or certification program. Cloudflare product subscriptions and deployment access are separate from reading the articles.","Build a one-page fictional website troubleshooting map distinguishing DNS resolution, TLS negotiation, application availability, and the evidence needed at each boundary.","2026-09-19","Learning Center","https://www.cloudflare.com/learning/","unknown","The public page provides topic collections and direct articles for DNS, TLS, DDoS, network-layer, and email-security learning."
"fortinet-training-institute","Fortinet Training Institute: self-paced lessons","Fortinet","https://training.fortinet.com/","Security and IT operations","security analysts; network administrators; IT support staff","free-account","Self-paced online lessons in the Training Institute library; the registration FAQ states that these lessons are free.","Portal login and course enrollment are required. On-demand labs are excluded from free lessons and are purchased separately. Do not assume certification exams or instructor-led training are included.","Use a fictional remote-access request to explain the identity, device, network, and logging checks you would require before recommending access.","2026-09-19","How do I register for the free online self-paced training?","https://helpdesk.training.fortinet.com/support/solutions/articles/73000524102-how-do-i-register-for-the-free-online-self-paced-training-","unknown","The FAQ identifies free self-paced lessons, the login/enrollment process, and the separately purchased on-demand labs. The visible modification label did not include a year."
"hpe-networking-open-learning","HPE Networking Open Learning","HPE Networking","https://learningportal.juniper.net/juniper/user_activity_info.aspx?id=11478","Security and IT operations","network administrators; network engineers; security analysts","free-account","Free Open Learning courses on the Juniper learning portal, including foundational networking and security tracks.","Guest-user registration is available for learning access. Certification exams and any discounted exam vouchers are separate; no exam discount or limited-time offer is counted as free training. Hardware and production access are not included.","Use a fictional network outage to explain the expected packet path, identify the first diagnostic observation you would request, and distinguish a routing issue from a policy block.","2026-09-19","Get Started with Free HPE Networking Training","https://learningportal.juniper.net/juniper/user_activity_info.aspx?id=11478","unknown","The current portal explicitly offers free Open Learning and guest registration; its examination information concerns separate discounted exams, not free exams."
"internet-society-learning","Internet Society Learning","Internet Society","https://www.internetsociety.org/learning/","Security and IT operations","network administrators; IT managers; policy and governance staff","free-account","Free online courses on Internet operations, policy, security, and related foundational concepts.","Free guest registration is available; paid membership is not required. Course language, prerequisites, and bandwidth formats vary. This listing covers online learning, not a guarantee of instructor support, an external credential, or implementation access.","Create a fictional organization's Internet-dependency map, identify one resilience risk, and list the evidence needed to distinguish a local outage from an upstream provider failure.","2026-09-19","Learning Frequently Asked Questions","https://www.internetsociety.org/learning/faqs/","unknown","The FAQ states that courses are free and explains guest/member registration, course prerequisites, and available bandwidth formats."
"jamf-100","Jamf 100 Course","Jamf","https://www.jamf.com/training/100-course/","Security and IT operations","Mac administrators; IT support staff; endpoint administrators","public","The free Jamf 100 video and text lessons, knowledge checks, interactive simulations, and practice-exam preparation.","Public course materials have no listed prerequisite. The optional certification exam is a separate purchase. Free lessons do not provide a Jamf Pro tenant or Apple hardware. Viewing lessons is separate from demonstrating skill.","Using fictional device records, propose the scope of a software policy and list which evidence would distinguish membership, policy execution, and a successful installation.","2026-09-19","Jamf 100 Course","https://www.jamf.com/training/100-course/","unknown","The official course page identifies 25 free video/text lessons, quizzes, simulations, a practice exam, and no course prerequisites; the exam is a separate option."
"keeper-101","Keeper 101 videos and user guides","Keeper Security","https://www.keepersecurity.com/support.html","Security and IT operations","employees; IT support staff; password-manager administrators","public","Public Keeper 101 walkthrough videos and linked user-guide material for core password-manager tasks.","Public support and tutorial material is the verified free subset. Keeper product plans, enterprise administration, and any separate Keeper University entitlement are not included. Actual vault access is unnecessary for a fictional practice exercise.","Write a short fictional handoff explaining how a team should request access to a shared credential, identify its owner, and confirm appropriate sharing without including any real password.","2026-09-19","Keeper Support","https://www.keepersecurity.com/support.html","unknown","The public support page provides Keeper 101 video resources and user guides alongside separate support and learning offerings."
